Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
20	Spectrogram 1	1	1.0	1.1707499999999982	0.0	8000.0	0.1707	8000.0	-63.13	thump
21	Spectrogram 1	1	2.365812500000004	2.5758749999999964	0.0	8000.0	0.2101	8000.0	-57.27	thump
22	Spectrogram 1	1	3.4689374999999956	3.6790625000000006	0.0	8000.0	0.2101	8000.0	-57.36	thump
23	Spectrogram 1	1	4.624562499999996	4.834687500000001	0.0	8000.0	0.2101	8000.0	-56.84	thump
24	Spectrogram 1	1	5.635750000000002	5.858999999999995	0.0	8000.0	0.2232	8000.0	-60.16	thump
25	Spectrogram 1	1	6.870249999999999	7.067250000000001	0.0	8000.0	0.197	8000.0	-55.52	thump
26	Spectrogram 1	1	7.881437500000004	8.144062500000004	0.0	8000.0	0.2626	8000.0	-57.52	thump
27	Spectrogram 1	1	8.7481875	8.958312500000005	0.0	8000.0	0.2101	8000.0	-60.1	thump
28	Spectrogram 1	1	9.686624999999992	9.949249999999992	0.0	8000.0	0.2626	8000.0	-58.55	thump
29	Spectrogram 1	1	10.645312500000003	10.868562499999996	0.0	8000.0	0.2232	8000.0	-57.73	thump
30	Spectrogram 1	1	11.604	11.800937500000003	0.0	8000.0	0.1969	8000.0	-55.44	thump
31	Spectrogram 1	1	12.664749999999998	12.808374999999998	0.0	8000.0	0.1436	8000.0	-56.54	thump
32	Spectrogram 1	1	13.376874999999998	13.613249999999994	0.0	8000.0	0.2364	8000.0	-59.06	thump
33	Spectrogram 1	1	15.977125000000001	16.252875000000003	0.0	8000.0	0.2758	8000.0	-56.07	thump
34	Spectrogram 1	1	17.145875000000004	17.3954375	0.0	8000.0	0.2496	8000.0	-57.45	thump
35	Spectrogram 1	1	18.340937499999995	18.603624999999994	0.0	8000.0	0.2627	8000.0	-55.22	thump
36	Spectrogram 1	1	19.70675	19.943124999999995	0.0	8000.0	0.2364	8000.0	-54.49	thump
37	Spectrogram 1	1	20.402749999999997	20.704812500000003	0.0	8000.0	0.3021	8000.0	-55.47	thump
38	Spectrogram 1	1	21.505875000000003	21.7685625	0.0	8000.0	0.2627	8000.0	-57.71	thump
39	Spectrogram 1	1	22.398875000000004	22.595874999999992	0.0	8000.0	0.197	8000.0	-58.95	thump
40	Spectrogram 1	1	24.276875000000004	24.565749999999994	0.0	8000.0	0.2889	8000.0	-59.57	thump
41	Spectrogram 1	1	25.629499999999993	25.905249999999995	0.0	8000.0	0.2758	8000.0	-58.57	thump
42	Spectrogram 1	1	26.636375	26.872749999999996	0.0	8000.0	0.2364	8000.0	-60.51	thump
43	Spectrogram 1	1	27.384937499999992	27.595062499999997	0.0	8000.0	0.2101	8000.0	-58.83	thump
44	Spectrogram 1	1	29.855000000000004	30.117625000000004	0.0	8000.0	0.2626	8000.0	-56.84	thump
45	Spectrogram 1	1	31.063187499999998	31.286437500000005	0.0	8000.0	0.2233	8000.0	-57.44	thump
46	Spectrogram 1	1	32.205687499999996	32.4026875	0.0	8000.0	0.197	8000.0	-54.21	thump
47	Spectrogram 1	1	33.2825625	33.4795625	0.0	8000.0	0.197	8000.0	-54.4	thump
48	Spectrogram 1	1	34.50393749999999	34.727187499999985	0.0	8000.0	0.2232	8000.0	-54.42	thump
49	Spectrogram 1	1	35.51512500000001	35.72524999999999	0.0	8000.0	0.2101	8000.0	-54.45	thump
50	Spectrogram 1	1	39.24506249999999	39.520812500000005	0.0	8000.0	0.2758	8000.0	-55.68	thump
