Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
35	Spectrogram 1	1	0.3783124999999927	0.41925000000000523	0.0	8000.0	0.0409	8000.0	-47.59	thump
36	Spectrogram 1	1	1.0	1.0395000000000039	0.0	8000.0	0.0395	8000.0	-43.83	thump
37	Spectrogram 1	1	1.6317499999999825	1.6850000000000023	0.0	8000.0	0.0533	8000.0	-41.96	thump
38	Spectrogram 1	1	2.2256874999999923	2.2707499999999925	0.0	8000.0	0.0451	8000.0	-43.45	thump
39	Spectrogram 1	1	2.8073124999999948	2.876937499999997	0.0	8000.0	0.0696	8000.0	-44.01	thump
40	Spectrogram 1	1	3.3725624999999866	3.4094374999999957	0.0	8000.0	0.0369	8000.0	-49.17	thump
41	Spectrogram 1	1	3.9173749999999927	3.9788125000000036	0.0	8000.0	0.0614	8000.0	-42.99	thump
42	Spectrogram 1	1	5.1830625000000055	5.228125000000006	0.0	8000.0	0.0451	8000.0	-44.07	thump
43	Spectrogram 1	1	5.801625000000001	5.854874999999993	0.0	8000.0	0.0532	8000.0	-44.91	thump
44	Spectrogram 1	1	6.266937499999983	6.30793749999998	0.0	8000.0	0.041	8000.0	-43.58	thump
45	Spectrogram 1	1	6.860874999999993	6.926437499999992	0.0	8000.0	0.0656	8000.0	-42.75	thump
46	Spectrogram 1	1	7.4589374999999905	7.53268749999998	0.0	8000.0	0.0737	8000.0	-45.66	thump
47	Spectrogram 1	1	8.052875	8.093812499999984	0.0	8000.0	0.0409	8000.0	-42.15	thump
48	Spectrogram 1	1	8.524437500000005	8.589687499999997	0.0	8000.0	0.0652	8000.0	-43.5	thump
49	Spectrogram 1	1	10.109125000000006	10.158312499999994	0.0	8000.0	0.0492	8000.0	-42.32	thump
50	Spectrogram 1	1	10.694874999999996	10.739937499999996	0.0	8000.0	0.0451	8000.0	-42.22	thump
51	Spectrogram 1	1	11.399437500000005	11.44856249999998	0.0	8000.0	0.0491	8000.0	-44.25	thump
52	Spectrogram 1	1	12.239125000000001	12.284187500000002	0.0	8000.0	0.0451	8000.0	-41.52	thump
53	Spectrogram 1	1	13.095249999999993	13.136187500000005	0.0	8000.0	0.0409	8000.0	-41.58	thump
54	Spectrogram 1	1	14.312250000000006	14.357312500000006	0.0	8000.0	0.0451	8000.0	-41.88	thump
55	Spectrogram 1	1	15.008624999999995	15.061874999999986	0.0	8000.0	0.0532	8000.0	-44.12	thump
56	Spectrogram 1	1	16.44637499999999	16.53649999999999	0.0	8000.0	0.0901	8000.0	-49.52	thump
