Begin Time (s)	End Time (s)	Annotation
0.3783124999999927	0.4192500000000052	POS
1.0	1.039500000000004	POS
1.6317499999999825	1.6850000000000025	POS
2.2256874999999923	2.2707499999999925	POS
2.8073124999999948	2.876937499999997	POS
3.3725624999999866	3.409437499999996	POS
3.9173749999999927	3.978812500000004	POS
5.1830625000000055	5.228125000000006	POS
5.801625000000001	5.854874999999993	POS
6.266937499999983	6.30793749999998	POS
6.860874999999993	6.926437499999992	POS
7.4589374999999905	7.53268749999998	POS
8.052875	8.093812499999984	POS
8.524437500000005	8.589687499999997	POS
10.109125000000006	10.158312499999994	POS
10.694874999999996	10.739937499999996	POS
11.399437500000005	11.44856249999998	POS
12.239125	12.284187500000002	POS
13.095249999999991	13.136187500000004	POS
14.312250000000006	14.357312500000006	POS
15.008624999999997	15.061874999999986	POS
16.44637499999999	16.53649999999999	POS
