Begin Time (s)	End Time (s)	Annotation
1.0	1.1707499999999982	POS
2.365812500000004	2.5758749999999964	POS
3.468937499999996	3.679062500000001	POS
4.624562499999996	4.834687500000001	POS
5.635750000000002	5.858999999999995	POS
6.870249999999999	7.067250000000001	POS
7.881437500000004	8.144062500000004	POS
8.7481875	8.958312500000005	POS
9.686624999999992	9.949249999999992	POS
10.645312500000005	10.868562499999996	POS
11.604	11.800937500000003	POS
12.664749999999998	12.808374999999998	POS
13.376874999999998	13.613249999999994	POS
15.977125	16.252875000000003	POS
17.145875000000004	17.3954375	POS
18.340937499999995	18.603624999999997	POS
19.70675	19.943124999999995	POS
20.40275	20.704812500000003	POS
21.505875000000003	21.7685625	POS
22.398875000000004	22.595874999999992	POS
24.276875000000004	24.565749999999998	POS
25.629499999999997	25.905249999999995	POS
26.636375	26.87275	POS
27.384937499999992	27.5950625	POS
29.855000000000004	30.117625000000004	POS
31.0631875	31.286437500000005	POS
32.2056875	32.4026875	POS
33.2825625	33.4795625	POS
34.50393749999999	34.727187499999985	POS
35.51512500000001	35.72524999999999	POS
39.24506249999999	39.520812500000005	POS
