Begin Time (s)	End Time (s)	Annotation
1.0	1.8139999999999643	POS
2.442999999999984	3.479000000000042	POS
5.551000000000045	6.365000000000009	POS
7.622000000000071	8.731999999999971	POS
10.027000000000044	11.581000000000016	POS
14.911000000000058	16.095000000000027	POS
16.354000000000042	17.389999999999986	POS
18.351999999999972	19.980000000000015	POS
20.715000000000032	21.56500000000005	POS
22.00900000000001	22.45299999999997	POS
24.451000000000025	26.337999999999965	POS
26.89300000000003	27.55899999999997	POS
28.409999999999968	29.59400000000005	POS
30.149	31.0	POS
32.18399999999997	33.18299999999999	POS
33.29399999999998	33.81200000000001	POS
35.81000000000006	36.95600000000002	POS
38.95400000000007	39.509000000000015	POS
39.952999999999975	42.06200000000001	POS
