Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
264	Spectrogram 1	1	1.0	1.8139999999999645	0.0	5000.0	0.814	5000.0	-75.15	Mn
265	Spectrogram 1	1	2.4429999999999836	3.479000000000042	0.0	5000.0	1.036	5000.0	-68.78	Mn
266	Spectrogram 1	1	5.551000000000045	6.365000000000009	0.0	5000.0	0.814	5000.0	-69.11	Mn
267	Spectrogram 1	1	7.622000000000071	8.731999999999971	0.0	5000.0	1.11	5000.0	-75.66	Mn
268	Spectrogram 1	1	10.027000000000044	11.581000000000017	0.0	5000.0	1.554	5000.0	-72.75	Mn
269	Spectrogram 1	1	14.911000000000058	16.095000000000027	0.0	5000.0	1.184	5000.0	-73.64	Mn
270	Spectrogram 1	1	16.354000000000042	17.389999999999986	0.0	5000.0	1.036	5000.0	-70.14	Mn
271	Spectrogram 1	1	18.351999999999975	19.980000000000018	0.0	5000.0	1.628	5000.0	-71.95	Mn
272	Spectrogram 1	1	20.715000000000032	21.565000000000055	0.0	5000.0	0.85	5000.0	-76.82	Mn
273	Spectrogram 1	1	22.009000000000015	22.452999999999975	0.0	5000.0	0.444	5000.0	-72.53	Mn
274	Spectrogram 1	1	24.451000000000022	26.337999999999965	0.0	5000.0	1.887	5000.0	-71.43	Mn
275	Spectrogram 1	1	26.89300000000003	27.55899999999997	0.0	5000.0	0.666	5000.0	-70.11	Mn
276	Spectrogram 1	1	28.409999999999968	29.59400000000005	0.0	5000.0	1.184	5000.0	-72.37	Mn
277	Spectrogram 1	1	30.149	31.0	0.0	5000.0	0.851	5000.0	-67.84	Mn
278	Spectrogram 1	1	32.18399999999997	33.18299999999999	0.0	5000.0	0.999	5000.0	-71.69	Mn
279	Spectrogram 1	1	33.29399999999998	33.81200000000001	0.0	5000.0	0.518	5000.0	-66.57	Mn
280	Spectrogram 1	1	35.81000000000006	36.95600000000002	0.0	5000.0	1.146	5000.0	-69.07	Mn
281	Spectrogram 1	1	38.954000000000065	39.509000000000015	0.0	5000.0	0.555	5000.0	-77.11	Mn
282	Spectrogram 1	1	39.952999999999975	42.06200000000001	0.0	5000.0	2.109	5000.0	-67.74	Mn
