Begin Time (s)	End Time (s)	Annotation
-0.9380000000000166	0.0839374999999904	POS
1.0	1.8109999999999784	POS
2.9039999999999964	4.5599374999999895	POS
7.838999999999999	9.001999999999981	POS
15.384999999999993	16.161	POS
19.404	20.214	POS
21.05993749999999	21.694999999999997	POS
23.422	24.268	POS
27.405	28.392	POS
29.238	29.83699999999999	POS
31.246999999999986	31.952	POS
32.869	33.60899999999998	POS
34.736999999999995	35.583	POS
36.32299999999998	37.20399999999998	POS
38.191	39.24799999999999	POS
