Begin Time (s)	End Time (s)	Annotation
1.0	1.0504999999999995	POS
1.41274999999996	1.4588749999999775	POS
1.987062499999979	2.040499999999952	POS
2.7043124999999577	2.770687499999952	POS
15.740249999999946	15.793624999999963	POS
16.150124999999946	16.189062499999977	POS
16.649437499999976	16.69131249999998	POS
17.392624999999953	17.437374999999975	POS
18.085375	18.13299999999998	POS
28.422624999999982	28.470249999999965	POS
28.88731249999995	28.944999999999997	POS
29.32456249999996	29.377937499999973	POS
35.60943749999996	35.655624999999986	POS
36.00199999999995	36.0510625	POS
36.45799999999997	36.50999999999999	POS
37.21999999999997	37.26762499999995	POS
