Begin Time (s)	End Time (s)	Annotation	Low Freq (Hz)	High Freq (Hz)
0.3650625000000005	0.412687499999997	TS	16509.6	19566.9
1.0	1.0418749999999974	TS	16203.8	19719.7
1.4503124999999955	1.5022499999999965	TS	16509.6	19261.1
12.963687499999999	13.015625	TS	16509.6	19719.7
13.375	13.421187499999995	TS	16509.6	19566.9
13.8368125	13.885874999999999	TS	16662.4	20025.5
14.298624999999994	14.3476875	TS	16356.7	19872.6
15.0288125	15.069249999999997	TS	16815.3	19566.9
24.94325	24.99375	TS	17426.8	20331.2
25.341562499999995	25.384812499999995	TS	16815.3	19872.6
25.758624999999995	25.8076875	TS	16356.7	20178.3
26.37625	26.42825	TS	16509.6	20484.1
26.812124999999995	26.885687499999996	TS	16662.4	21248.4
35.668687500000004	35.7090625	TS	16815.3	20331.2
36.054	36.114625000000004	TS	16509.6	20178.3
36.4609375	36.515812499999996	TS	16356.7	20025.5
37.15656249999999	37.20706249999999	TS	16356.7	19719.7
