Begin Time (s)	End Time (s)	Annotation	Low Freq (Hz)	High Freq (Hz)
1.0	1.0504999999999995	TS	16509.6	20789.8
1.41274999999996	1.4588749999999777	TS	16203.8	20789.8
1.987062499999979	2.040499999999952	TS	16203.8	20789.8
2.7043124999999577	2.7706874999999513	TS	16356.7	20789.8
15.740249999999946	15.793624999999963	TS	16356.7	20636.9
16.150124999999946	16.189062499999977	TS	16356.7	19872.6
16.649437499999976	16.69131249999998	TS	16662.4	19719.7
17.392624999999953	17.437374999999975	TS	16815.3	20025.5
18.085375	18.13299999999998	TS	16662.4	20025.5
28.422624999999982	28.470249999999965	TS	16968.2	19566.9
28.88731249999995	28.944999999999993	TS	16815.3	19719.7
29.324562499999956	29.377937499999973	TS	15745.2	19719.7
35.609437499999956	35.655624999999986	TS	16203.8	19872.6
36.00199999999995	36.0510625	TS	16356.7	20178.3
36.45799999999997	36.50999999999999	TS	16356.7	20178.3
37.21999999999997	37.26762499999995	TS	16509.6	20178.3
