Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
321	Spectrogram 1	1	1.0	2.45056250000016	0.0	16000.0	1.4506	16000.0	-72.06	WOTH
322	Spectrogram 1	1	4.310875000000124	5.640187500000138	0.0	16000.0	1.3293	16000.0	-72.95	WOTH
323	Spectrogram 1	1	8.032624999999825	9.613812499999767	0.0	16000.0	1.5812	16000.0	-68.9	WOTH
324	Spectrogram 1	1	11.57162500000004	13.264687500000036	0.0	16000.0	1.6931	16000.0	-65.0	WOTH
325	Spectrogram 1	1	15.232312499999807	16.701500000000124	0.0	16000.0	1.4692	16000.0	-70.83	WOTH
326	Spectrogram 1	1	19.003999999999905	20.561874999999873	0.0	16000.0	1.5579	16000.0	-68.7	WOTH
327	Spectrogram 1	1	22.917875000000095	24.5876874999999	0.0	16000.0	1.6698	16000.0	-72.24	WOTH
328	Spectrogram 1	1	26.13124999999991	27.70306249999976	0.0	16000.0	1.5718	16000.0	-69.39	WOTH
329	Spectrogram 1	1	29.96875	31.618625000000065	0.0	16000.0	1.6499	16000.0	-70.08	WOTH
330	Spectrogram 1	1	33.602750000000015	35.286125000000084	0.0	16000.0	1.6834	16000.0	-65.61	WOTH
331	Spectrogram 1	1	37.55131249999977	39.048499999999876	0.0	16000.0	1.4972	16000.0	-70.12	WOTH
