Begin Time (s)	End Time (s)	Annotation
-0.4933125000006839	0.0862499999993815	POS
0.3062499999996362	0.7081249999991996	POS
1.0	1.3426874999995562	POS
1.7784374999991996	2.20568749999984	POS
2.5399374999997235	2.97143749999941	POS
3.529874999999265	3.9063749999995703	POS
4.254874999999629	4.618749999999636	POS
5.305749999999534	5.546875	POS
5.930437499999243	6.230812499999956	POS
7.521062499999971	7.77068749999944	POS
12.264249999999263	12.526562499999272	POS
24.3739999999998	26.112624999999756	POS
