Begin Time (s)	End Time (s)	Annotation
2.3968749999999943	2.565499999999986	POS
3.2446874999999977	3.3650624999999934	POS
3.7263749999999902	3.976812499999994	POS
4.747562499999987	5.157000000000011	POS
6.611750000000001	7.069312499999995	POS
7.68587500000001	7.811125000000004	POS
8.42768749999999	8.528875	POS
9.25618750000001	9.371812500000004	POS
17.02600000000001	17.146375000000006	POS
17.5895625	17.710000000000008	POS
17.897812499999986	18.02306250000001	POS
19.212874999999997	19.36699999999999	POS
20.3545	20.47968750000001	POS
22.305374999999998	22.396874999999994	POS
