Begin Time (s)	End Time (s)	Annotation
3.18293749999998	4.150312499999927	POS
4.413749999999936	5.486562499999991	POS
7.052625000000035	8.106312500000058	POS
8.393624999999929	9.356250000000045	POS
9.543062499999905	10.40993750000007	POS
10.553562499999998	11.382125000000087	POS
11.568937499999947	11.999937499999987	POS
12.038312500000075	12.675250000000005	POS
12.871624999999995	13.580437500000016	POS
13.858187499999985	14.662812499999973	POS
14.816062500000044	15.869687500000055	POS
16.128312499999993	16.60243749999995	POS
16.794000000000096	16.999937499999987	POS
17.01912500000003	17.359187499999962	POS
17.512437500000033	18.044000000000096	POS
18.317000000000007	18.70012500000007	POS
18.901312499999904	19.437687500000038	POS
19.64362499999993	20.151312499999904	POS
20.61587499999996	21.32943750000004	POS
21.707812500000045	21.999937499999987	POS
22.028687499999933	22.335187500000075	POS
22.531562500000064	23.154187500000035	POS
23.633125000000064	24.23174999999992	POS
24.490375000000085	25.06987499999991	POS
25.328500000000076	25.869687500000055	POS
26.354499999999916	26.51343750000001	POS
26.816874999999982	26.961437500000102	POS
27.052625000000035	27.16756250000003	POS
27.62737500000003	27.828500000000076	POS
28.642687499999965	28.858187499999985	POS
29.078500000000076	29.289250000000038	POS
29.66756250000003	29.873499999999922	POS
