Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
64	Spectrogram 1	1	-0.08500000000003638	0.0759375000000091	0.0	23437.5	0.1609	23437.5	-51.42	adult_crow
65	Spectrogram 1	1	0.5255624999999782	0.7401249999998072	0.0	23437.5	0.2146	23437.5	-41.32	adult_crow
66	Spectrogram 1	1	1.0	1.29293749999988	0.0	23437.5	0.2929	23437.5	-41.04	adult_crow
67	Spectrogram 1	1	1.5816874999998163	1.8126874999998108	0.0	23437.5	0.231	23437.5	-38.13	adult_crow
68	Spectrogram 1	1	6.0	6.214499999999816	0.0	23437.5	0.2145	23437.5	-52.22	adult_crow
69	Spectrogram 1	1	6.490937499999973	6.705437499999789	0.0	23437.5	0.2145	23437.5	-51.75	adult_crow
70	Spectrogram 1	1	11.622937499999807	11.961249999999836	0.0	23437.5	0.3383	23437.5	-42.48	adult_crow
71	Spectrogram 1	1	12.19224999999983	12.460374999999885	0.0	23437.5	0.2681	23437.5	-41.48	adult_crow
72	Spectrogram 1	1	12.745062499999904	12.967812499999809	0.0	23437.5	0.2227	23437.5	-41.18	adult_crow
73	Spectrogram 1	1	13.314374999999927	13.524749999999813	0.0	23437.5	0.2104	23437.5	-40.21	adult_crow
74	Spectrogram 1	1	14.968687499999987	15.146062499999971	0.0	23437.5	0.1774	23437.5	-52.15	adult_crow
75	Spectrogram 1	1	15.476062499999898	15.735999999999876	0.0	23437.5	0.2599	23437.5	-52.18	adult_crow
76	Spectrogram 1	1	16.02062499999988	16.197999999999865	0.0	23437.5	0.1774	23437.5	-52.17	adult_crow
77	Spectrogram 1	1	29.589124999999967	30.01406249999991	0.0	23437.5	0.4249	23437.5	-52.4	adult_crow
78	Spectrogram 1	1	30.224437499999794	30.49256249999985	0.0	23437.5	0.2681	23437.5	-52.38	adult_crow
79	Spectrogram 1	1	30.620499999999993	30.752499999999827	0.0	23437.5	0.132	23437.5	-52.4	adult_crow
80	Spectrogram 1	1	30.793749999999818	31.02887499999997	0.0	23437.5	0.2351	23437.5	-52.35	adult_crow
81	Spectrogram 1	1	31.090749999999844	31.34656249999989	0.0	23437.5	0.2558	23437.5	-52.4	adult_crow
82	Spectrogram 1	1	34.349874999999884	34.58499999999981	0.0	23437.5	0.2351	23437.5	-33.99	adult_crow
83	Spectrogram 1	1	34.64274999999998	34.79949999999985	0.0	23437.5	0.1567	23437.5	-48.07	adult_crow
84	Spectrogram 1	1	34.83249999999998	35.10068749999982	0.0	23437.5	0.2682	23437.5	-38.07	adult_crow
85	Spectrogram 1	1	35.12956249999979	35.232687499999884	0.0	23437.5	0.1031	23437.5	-50.58	adult_crow
86	Spectrogram 1	1	35.368812499999876	35.59156250000001	0.0	23437.5	0.2228	23437.5	-36.77	adult_crow
87	Spectrogram 1	1	35.756624999999985	35.86387500000001	0.0	23437.5	0.1073	23437.5	-49.82	adult_crow
88	Spectrogram 1	1	35.90099999999984	36.177374999999984	0.0	23437.5	0.2764	23437.5	-38.01	adult_crow
89	Spectrogram 1	1	36.206249999999955	36.3671875	0.0	23437.5	0.1609	23437.5	-50.44	adult_crow
90	Spectrogram 1	1	36.41668749999985	36.7260624999999	0.0	23437.5	0.3094	23437.5	-37.49	adult_crow
