Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
154	Spectrogram 1	1	0.10385000000002265	0.7369700000000421	0.0	22050.0	0.6331	22050.0	-57.37	Phee
155	Spectrogram 1	1	1.0	1.6911499999999933	0.0	22050.0	0.6911	22050.0	-57.21	Phee
156	Spectrogram 1	1	7.39819	7.906130000000019	0.0	22050.0	0.5079	22050.0	-62.72	Phee
157	Spectrogram 1	1	8.210880000000031	8.793209999999988	0.0	22050.0	0.5823	22050.0	-60.11	Phee
158	Spectrogram 1	1	9.166899999999998	9.783650000000023	0.0	22050.0	0.6168	22050.0	-57.27	Phee
159	Spectrogram 1	1	10.055790000000002	10.763270000000034	0.0	22050.0	0.7075	22050.0	-58.1	Phee
161	Spectrogram 1	1	21.936050000000023	22.60181	0.0	22050.0	0.6658	22050.0	-61.31	Phee
162	Spectrogram 1	1	22.881190000000004	23.429020000000037	0.0	22050.0	0.5478	22050.0	-57.35	Phee
163	Spectrogram 1	1	23.788209999999992	24.406800000000032	0.0	22050.0	0.6186	22050.0	-56.89	Phee
164	Spectrogram 1	1	24.687990000000013	25.337400000000002	0.0	22050.0	0.6494	22050.0	-60.53	Phee
169	Spectrogram 1	1	36.02584999999999	36.59003000000001	0.0	22050.0	0.5642	22050.0	-58.82	Phee
170	Spectrogram 1	1	37.014530000000036	37.61859000000004	0.0	22050.0	0.6041	22050.0	-59.21	Phee
171	Spectrogram 1	1	37.93243000000001	38.57098000000002	0.0	22050.0	0.6386	22050.0	-61.56	Phee
