Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
140	Spectrogram 1	1	-0.13741999999996324	0.7841200000000299	0.0	22050.0	0.9215	22050.0	-58.72	Phee
141	Spectrogram 1	1	1.0	1.994100000000003	0.0	22050.0	0.9941	22050.0	-60.22	Phee
142	Spectrogram 1	1	10.289800000000014	11.202269999999999	0.0	22050.0	0.9125	22050.0	-60.89	Phee
143	Spectrogram 1	1	11.40542000000005	12.288880000000006	0.0	22050.0	0.8835	22050.0	-56.63	Phee
144	Spectrogram 1	1	12.508400000000051	13.47890000000001	0.0	22050.0	0.9705	22050.0	-61.79	Phee
145	Spectrogram 1	1	19.585020000000043	20.341500000000053	0.0	22050.0	0.7565	22050.0	-60.24	Phee
146	Spectrogram 1	1	20.560970000000054	21.468000000000018	0.0	22050.0	0.907	22050.0	-57.34	Phee
147	Spectrogram 1	1	21.879820000000052	22.87390000000005	0.0	22050.0	0.9941	22050.0	-65.29	Phee
150	Spectrogram 1	1	29.444420000000036	30.39862000000005	0.0	22050.0	0.9542	22050.0	-62.13	Phee
151	Spectrogram 1	1	30.67437000000001	31.599550000000022	0.0	22050.0	0.9252	22050.0	-62.85	Phee
