Begin Time (s)	End Time (s)	Annotation
0.1038500000000226	0.7369700000000421	POS
1.0	1.6911499999999933	POS
7.39819	7.906130000000019	POS
8.210880000000031	8.793209999999988	POS
9.166899999999998	9.783650000000025	POS
10.055790000000002	10.763270000000034	POS
21.936050000000023	22.60181	POS
22.881190000000004	23.42902000000004	POS
23.788209999999992	24.406800000000032	POS
24.687990000000013	25.3374	POS
36.02584999999999	36.59003000000001	POS
37.01453000000004	37.61859000000004	POS
37.93243000000001	38.57098000000002	POS
